feed,weight,scaled_w,,,,,,,feed,sum of weight
horsebean,179,0.225396825,,,,,,,Horsebean,1602
horsebean,160,0.165079365,,,,,,,Linseed,2625
horsebean,136,0.088888889,,,,,,,Soybean,3450
horsebean,227,0.377777778,,,,,,,Sunflower,3947
horsebean,217,0.346031746,,Food type,Min weight,Mean weight,Max weight,,Meatmeal,3046
horsebean,168,0.19047619,,Horsebean,108,160.2,227,,Casein,3883
horsebean,108,0,,Linseed,141,218.75,309,,,
horsebean,124,0.050793651,,Soybean,158,246.4285714,329,,,
horsebean,143,0.111111111,,Sunflower,226,328.9166667,423,,,
horsebean,140,0.101587302,,Meatmeal,153,276.9090909,380,,,
linseed,309,0.638095238,,Casein,216,323.5833333,404,,,
linseed,229,0.384126984,,,,,,,,
linseed,181,0.231746032,,,,,,,,
linseed,141,0.104761905,,,,,,,,
linseed,260,0.482539683,,,,,,,,
linseed,203,0.301587302,,,,,,,,
linseed,148,0.126984127,,,,,,,,
linseed,169,0.193650794,,,,,,,,
linseed,213,0.333333333,,,,,,,,
linseed,257,0.473015873,,,,,,,,
linseed,244,0.431746032,,,,,,,,
linseed,271,0.517460317,,,,,,,,
soybean,243,0.428571429,,,,,,,,
soybean,230,0.387301587,,,,,,,,
soybean,248,0.444444444,,,,,,,,
soybean,327,0.695238095,,,,,,,,
soybean,329,0.701587302,,,,,,,,
soybean,250,0.450793651,,,,,,,,
soybean,193,0.26984127,,,,,,,,
soybean,271,0.517460317,,,,,,,,
soybean,316,0.66031746,,,,,,,,
soybean,267,0.504761905,,,,,,,,
soybean,199,0.288888889,,,,,,,,
soybean,171,0.2,,,,,,,,
soybean,158,0.158730159,,,,,,,,
soybean,248,0.444444444,,,,,,,,
sunflower,423,1,,,,,,,,
sunflower,340,0.736507937,,,,,,,,
sunflower,392,0.901587302,,,,,,,,
sunflower,339,0.733333333,,,,,,,,
sunflower,341,0.73968254,,,,,,,,
sunflower,226,0.374603175,,,,,,,,
sunflower,320,0.673015873,,,,,,,,
sunflower,295,0.593650794,,,,,,,,
sunflower,334,0.717460317,,,,,,,,
sunflower,322,0.679365079,,,,,,,,
sunflower,297,0.6,,,,,,,,
sunflower,318,0.666666667,,,,,,,,
meatmeal,325,0.688888889,,,,,,,,
meatmeal,257,0.473015873,,,,,,,,
meatmeal,303,0.619047619,,,,,,,,
meatmeal,315,0.657142857,,,,,,,,
meatmeal,380,0.863492063,,,,,,,,
meatmeal,153,0.142857143,,,,,,,,
meatmeal,263,0.492063492,,,,,,,,
meatmeal,242,0.425396825,,,,,,,,
meatmeal,206,0.311111111,,,,,,,,
meatmeal,344,0.749206349,,,,,,,,
meatmeal,258,0.476190476,,,,,,,,
casein,368,0.825396825,,,,,,,,
casein,390,0.895238095,,,,,,,,
casein,379,0.86031746,,,,,,,,
casein,260,0.482539683,,,,,,,,
casein,404,0.93968254,,,,,,,,
casein,318,0.666666667,,,,,,,,
casein,352,0.774603175,,,,,,,,
casein,359,0.796825397,,,,,,,,
casein,216,0.342857143,,,,,,,,
casein,222,0.361904762,,,,,,,,
casein,283,0.555555556,,,,,,,,
casein,332,0.711111111,,,,,,,,
